"","pairs","Df","SumsOfSqs","F.Model","R2","p.value","p.adjusted","sig"
"321","C17 vs C59",1,0.992163074697374,11.6557771435413,0.393035633061459,0.001,0.0010709939148073,"*"
"322","C17 vs C65",1,0.751805674899977,7.28781121347851,0.300060435640827,0.001,0.0010709939148073,"*"
"323","C17 vs C67",1,0.791969716242232,11.8296335273603,0.39657321021091,0.001,0.0010709939148073,"*"
"324","C17 vs C70",1,1.14743796846236,11.5829691628825,0.391541805662144,0.001,0.0010709939148073,"*"
"325","C17 vs C72",1,0.761804860386051,9.47638985255476,0.344892102034054,0.001,0.0010709939148073,"*"
"326","C17 vs C73",1,0.689278768711623,8.67975166836755,0.32533105166262,0.001,0.0010709939148073,"*"
"327","C17 vs C74",1,0.676535515529789,6.74391823959976,0.272548517752815,0.001,0.0010709939148073,"*"
"328","C17 vs C86",1,1.14166693445474,11.3240115177825,0.41443444387413,0.001,0.0010709939148073,"*"
"329","C17 vs C15",1,1.1452648597235,9.78858047952596,0.365401238300297,0.001,0.0010709939148073,"*"
"330","C17 vs C16",1,0.919414368171761,10.7680527133228,0.374305929588901,0.001,0.0010709939148073,"*"
"331","C17 vs C33",1,1.11010138361715,10.0672096180266,0.358682240059973,0.001,0.0010709939148073,"*"
"332","C17 vs C36",1,1.4133131554892,15.9464735974087,0.46975346501458,0.001,0.0010709939148073,"*"
"333","C17 vs C56",1,1.26904384448597,12.0840622623466,0.401676547434589,0.001,0.0010709939148073,"*"
"334","C17 vs C87",1,1.12236247354292,9.17318321797563,0.337582209062182,0.001,0.0010709939148073,"*"
"335","C17 vs C88",1,1.34573627511067,14.0633724617384,0.438611767321744,0.001,0.0010709939148073,"*"
"336","C17 vs C89",1,1.60962021873899,18.6732933551153,0.509179614012241,0.001,0.0010709939148073,"*"
"337","C17 vs C90",1,1.09854404479536,11.8158209163153,0.396293664007407,0.001,0.0010709939148073,"*"
"338","C17 vs C91",1,1.80645400961069,20.7218298685001,0.535145935480625,0.001,0.0010709939148073,"*"
"339","C18 vs C28",1,0.970793302499332,7.4890192415061,0.293813550476318,0.001,0.0010709939148073,"*"
"340","C18 vs C59",1,1.00420793913703,7.30629337842617,0.288714481776096,0.001,0.0010709939148073,"*"
